INPUT_DATA_WIDTH,INPUT_BUS_WIDTH,CONFIG_BUS_WIDTH,OUTPUT_DATA_WIDTH,OUTPUT_BUS_WIDTH,TOTAL_LAYERS,fMax,LUT (Used),LUT (Total),LUTAsLogic (Used),LUTAsLogic (Total),LUTAsMem (Used),LUTAsMem (Total),REG (Used),REG (Total),CARRY8 (Used),CARRY8 (Total),F7MUX (Used),F7MUX (Total),F8MUX (Used),F8MUX (Total),F9MUX (Used),F9MUX (Total),BRAM (Used),BRAM (Total),URAM (Used),URAM (Total),DSP (Used),DSP (Total),GLOBAL_CLOCK_BUFFERS (Used),GLOBAL_CLOCK_BUFFERS (Total),PLL (Used),PLL (Total),MMCM (Used),MMCM (Total),GTYE4_CHANNEL (Used),GTYE4_CHANNEL (Total),GTYE4_COMMON (Used),GTYE4_COMMON (Total),SLL_SLR2-SLR3 (Used),SLL_SLR2-SLR3 (Total),SLL_SLR3-SLR2 (Used),SLL_SLR3-SLR2 (Total),SLL_SLR1-SLR2 (Used),SLL_SLR1-SLR2 (Total),SLL_SLR2-SLR1 (Used),SLL_SLR2-SLR1 (Total),SLL_SLR0-SLR1 (Used),SLL_SLR0-SLR1 (Total),SLL_SLR1-SLR0 (Used),SLL_SLR1-SLR0 (Total),LUT_SLR0 (Used),LUT_SLR0 (Total),LUT_SLR1 (Used),LUT_SLR1 (Total),LUT_SLR2 (Used),LUT_SLR2 (Total),LUT_SLR3 (Used),LUT_SLR3 (Total),LUTAsLogic_SLR0 (Used),LUTAsLogic_SLR0 (Total),LUTAsLogic_SLR1 (Used),LUTAsLogic_SLR1 (Total),LUTAsLogic_SLR2 (Used),LUTAsLogic_SLR2 (Total),LUTAsLogic_SLR3 (Used),LUTAsLogic_SLR3 (Total),LUTAsMem_SLR0 (Used),LUTAsMem_SLR0 (Total),LUTAsMem_SLR1 (Used),LUTAsMem_SLR1 (Total),LUTAsMem_SLR2 (Used),LUTAsMem_SLR2 (Total),LUTAsMem_SLR3 (Used),LUTAsMem_SLR3 (Total),REG_SLR0 (Used),REG_SLR0 (Total),REG_SLR1 (Used),REG_SLR1 (Total),REG_SLR2 (Used),REG_SLR2 (Total),REG_SLR3 (Used),REG_SLR3 (Total),CARRY8_SLR0 (Used),CARRY8_SLR0 (Total),CARRY8_SLR1 (Used),CARRY8_SLR1 (Total),CARRY8_SLR2 (Used),CARRY8_SLR2 (Total),CARRY8_SLR3 (Used),CARRY8_SLR3 (Total),F7MUX_SLR0 (Used),F7MUX_SLR0 (Total),F7MUX_SLR1 (Used),F7MUX_SLR1 (Total),F7MUX_SLR2 (Used),F7MUX_SLR2 (Total),F7MUX_SLR3 (Used),F7MUX_SLR3 (Total),F8MUX_SLR0 (Used),F8MUX_SLR0 (Total),F8MUX_SLR1 (Used),F8MUX_SLR1 (Total),F8MUX_SLR2 (Used),F8MUX_SLR2 (Total),F8MUX_SLR3 (Used),F8MUX_SLR3 (Total),F9MUX_SLR0 (Used),F9MUX_SLR0 (Total),F9MUX_SLR1 (Used),F9MUX_SLR1 (Total),F9MUX_SLR2 (Used),F9MUX_SLR2 (Total),F9MUX_SLR3 (Used),F9MUX_SLR3 (Total),BRAM_SLR0 (Used),BRAM_SLR0 (Total),BRAM_SLR1 (Used),BRAM_SLR1 (Total),BRAM_SLR2 (Used),BRAM_SLR2 (Total),BRAM_SLR3 (Used),BRAM_SLR3 (Total),URAM_SLR0 (Used),URAM_SLR0 (Total),URAM_SLR1 (Used),URAM_SLR1 (Total),URAM_SLR2 (Used),URAM_SLR2 (Total),URAM_SLR3 (Used),URAM_SLR3 (Total),DSPs_SLR0 (Used),DSPs_SLR0 (Total),DSPs_SLR1 (Used),DSPs_SLR1 (Total),DSPs_SLR2 (Used),DSPs_SLR2 (Total),DSPs_SLR3 (Used),DSPs_SLR3 (Total)
8,64,64,4,8,4,93.21401938851604,136777,1728000,136777,1728000,0,791040,282601,3456000,49,216000,36289,864000,17770,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,0,432000,136777,432000,0,432000,0,432000,0,432000,136777,432000,0,197760,0,197760,0,197760,0,197760,0,864000,0,864000,0,864000,282601,864000,0,54000,0,54000,0,54000,49,54000,0,216000,0,216000,0,216000,36289,216000,0,108000,0,108000,0,108000,17770,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,312.40237425804435,3952,1728000,3824,1728000,128,791040,5462,3456000,33,216000,153,864000,48,432000,0,216000,38,2688,0,1280,1,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,3952,432000,0,432000,0,432000,0,432000,3824,432000,0,432000,0,197760,0,197760,128,197760,0,197760,0,864000,0,864000,5462,864000,0,864000,0,54000,0,54000,33,54000,0,54000,0,216000,0,216000,153,216000,0,216000,0,108000,0,108000,48,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,38,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,1,3072,0,3072
8,64,64,4,8,4,206.058108386565,3949,1728000,3821,1728000,128,791040,6200,3456000,35,216000,153,864000,48,432000,0,216000,38,2688,0,1280,1,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,0,432000,3949,432000,0,432000,0,432000,0,432000,3821,432000,0,197760,0,197760,0,197760,128,197760,0,864000,0,864000,0,864000,6200,864000,0,54000,0,54000,0,54000,35,54000,0,216000,0,216000,0,216000,153,216000,0,108000,0,108000,0,108000,48,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,38,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,1,3072
8,64,64,4,8,4,209.2050209205021,4028,1728000,3900,1728000,128,791040,6338,3456000,50,216000,177,864000,48,432000,0,216000,38,2688,0,1280,1,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,0,432000,4028,432000,0,432000,0,432000,0,432000,3900,432000,0,197760,0,197760,0,197760,128,197760,0,864000,0,864000,0,864000,6338,864000,0,54000,0,54000,0,54000,50,54000,0,216000,0,216000,0,216000,177,216000,0,108000,0,108000,0,108000,48,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,38,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,1,3072
